trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,1,0,1-2-0,0-1-2
1,2,1,0-1-2,2-0-1
2,2,1,1-0-2,2-0-1
3,0,0,0-2-1,2-1-0
4,2,1,0-1-2,2-1-0
5,2,1,0-1-2,0-1-2
6,2,1,2-0-1,2-0-1
7,2,0,2-1-0,0-2-1
8,0,1,1-0-2,2-1-0
9,2,1,0-2-1,1-0-2
10,0,0,1-2-0,2-0-1
11,2,1,1-2-0,1-2-0
12,1,0,2-0-1,0-2-1
13,2,1,2-1-0,2-0-1
14,0,0,1-0-2,1-0-2
15,2,1,2-0-1,1-2-0
16,2,0,1-2-0,2-1-0
17,2,1,2-0-1,1-0-2
18,1,0,0-2-1,2-0-1
19,2,0,1-0-2,0-2-1
20,0,0,1-0-2,2-1-0
21,0,0,1-0-2,0-1-2
22,2,1,2-1-0,1-0-2
23,1,0,1-2-0,2-1-0
24,2,1,1-2-0,0-2-1
25,2,1,0-1-2,1-2-0
26,0,0,2-0-1,2-1-0
27,0,0,1-2-0,2-1-0
28,2,1,2-1-0,0-2-1
29,2,1,0-2-1,1-0-2
