trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,0,1,"2,0,1","2,0,1"
1,2,0,"0,1,2","1,2,0"
2,0,0,"0,2,1","0,1,2"
3,1,0,"1,2,0","2,1,0"
4,0,0,"2,0,1","1,0,2"
5,1,0,"1,0,2","1,0,2"
6,0,0,"1,2,0","1,2,0"
7,2,1,"0,2,1","1,2,0"
8,2,1,"1,0,2","0,1,2"
9,2,1,"2,1,0","0,2,1"
10,0,0,"1,0,2","1,0,2"
11,1,0,"2,1,0","2,0,1"
12,0,0,"2,1,0","2,0,1"
13,2,0,"2,0,1","1,0,2"
14,0,0,"0,1,2","1,2,0"
15,0,0,"0,2,1","2,0,1"
16,1,1,"0,1,2","1,0,2"
17,0,0,"2,0,1","0,2,1"
18,0,1,"1,0,2","2,0,1"
19,1,1,"1,0,2","0,2,1"
20,1,0,"1,0,2","1,2,0"
21,1,0,"2,1,0","2,0,1"
22,0,0,"2,0,1","2,1,0"
23,2,1,"1,2,0","2,0,1"
24,0,1,"0,1,2","2,1,0"
25,1,1,"1,0,2","0,2,1"
26,0,0,"2,1,0","1,2,0"
27,0,0,"2,0,1","0,1,2"
28,2,1,"1,2,0","2,1,0"
29,2,1,"1,0,2","0,1,2"
