trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,0,0,2-1-0,2-0-1
1,2,0,1-2-0,2-1-0
2,1,1,2-0-1,2-1-0
3,1,0,1-2-0,0-2-1
4,1,1,1-2-0,2-0-1
5,0,0,1-0-2,0-1-2
6,2,1,1-2-0,0-2-1
7,2,1,2-1-0,1-2-0
8,2,0,1-2-0,0-1-2
9,2,1,0-1-2,1-0-2
10,2,1,0-1-2,0-1-2
11,1,0,0-1-2,0-1-2
12,2,1,0-1-2,2-1-0
13,1,0,0-2-1,0-2-1
14,2,0,0-2-1,2-0-1
15,2,1,2-0-1,0-2-1
16,1,0,1-0-2,2-1-0
17,2,1,2-0-1,1-2-0
18,2,1,2-1-0,1-2-0
19,2,1,1-2-0,2-0-1
20,1,0,1-0-2,1-2-0
21,1,1,1-2-0,1-2-0
22,2,1,1-2-0,0-1-2
23,1,0,1-2-0,2-1-0
24,2,1,2-1-0,2-1-0
25,1,0,0-2-1,1-0-2
26,2,1,2-1-0,0-1-2
27,2,1,0-1-2,0-2-1
28,2,0,2-0-1,0-2-1
29,2,1,0-1-2,1-0-2
