trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,1,0,2-0-1,2-1-0
1,2,1,2-0-1,2-0-1
2,0,0,1-0-2,1-0-2
3,2,1,1-0-2,0-1-2
4,2,1,2-0-1,1-0-2
5,1,0,0-2-1,1-0-2
6,0,0,0-2-1,2-0-1
7,2,0,2-1-0,1-2-0
8,0,1,0-1-2,0-2-1
9,2,0,1-2-0,2-0-1
10,2,0,1-0-2,0-1-2
11,0,1,2-0-1,1-0-2
12,1,0,1-2-0,1-2-0
13,2,1,0-1-2,2-1-0
14,2,1,1-0-2,1-2-0
15,0,0,0-2-1,2-0-1
16,2,1,0-2-1,1-0-2
17,2,0,0-1-2,0-1-2
18,1,0,2-0-1,1-0-2
19,0,1,2-0-1,0-1-2
20,0,0,2-1-0,2-1-0
21,0,0,1-2-0,1-2-0
22,2,1,0-1-2,1-0-2
23,0,0,0-2-1,2-0-1
24,0,0,2-0-1,0-1-2
25,1,0,1-2-0,2-0-1
26,2,0,0-1-2,0-2-1
27,2,0,0-1-2,0-2-1
28,1,0,1-0-2,1-0-2
29,2,1,0-2-1,1-2-0
