trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,2,0,0-1-2,2-1-0
1,1,0,2-0-1,1-2-0
2,0,0,1-0-2,0-2-1
3,2,0,0-1-2,0-2-1
4,1,0,0-2-1,2-1-0
5,1,0,2-1-0,1-2-0
6,0,1,0-2-1,0-1-2
7,2,1,2-1-0,1-2-0
8,2,1,0-1-2,2-0-1
9,0,0,1-2-0,0-1-2
10,2,1,2-0-1,0-2-1
11,2,1,1-0-2,0-1-2
12,2,1,2-0-1,1-0-2
13,0,1,2-1-0,1-2-0
14,1,0,2-0-1,1-0-2
15,2,1,2-0-1,1-0-2
16,2,0,0-2-1,0-2-1
17,2,0,1-2-0,1-2-0
18,0,0,1-0-2,0-2-1
19,0,0,1-2-0,1-2-0
20,2,1,1-0-2,2-0-1
21,2,0,2-1-0,2-0-1
22,2,1,1-2-0,1-0-2
23,2,0,2-0-1,1-0-2
24,0,1,1-0-2,0-2-1
25,1,1,1-0-2,0-2-1
26,2,1,2-0-1,2-0-1
27,2,0,1-2-0,1-0-2
28,0,1,2-1-0,2-1-0
29,1,1,1-2-0,2-0-1
