trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,2,1,0-1-2,1-0-2
1,1,1,0-2-1,0-1-2
2,1,0,0-1-2,1-0-2
3,1,0,1-2-0,2-1-0
4,1,1,0-1-2,1-2-0
5,1,1,2-1-0,1-0-2
6,1,0,2-0-1,1-2-0
7,0,0,0-1-2,1-2-0
8,1,0,2-1-0,2-1-0
9,2,1,2-1-0,0-1-2
10,0,0,2-0-1,1-2-0
11,1,0,0-2-1,1-2-0
12,1,0,0-2-1,0-2-1
13,2,0,2-0-1,2-0-1
14,0,0,0-1-2,1-2-0
15,2,1,1-2-0,1-2-0
16,0,0,1-2-0,2-0-1
17,2,1,1-0-2,0-2-1
18,1,0,1-2-0,0-2-1
19,2,0,1-0-2,0-2-1
20,2,1,1-2-0,1-2-0
21,2,0,2-1-0,1-2-0
22,1,0,2-0-1,0-2-1
23,2,1,0-2-1,0-1-2
24,2,1,1-2-0,0-1-2
25,2,1,2-1-0,0-1-2
26,2,1,0-1-2,0-2-1
27,2,1,0-1-2,1-2-0
28,2,1,0-1-2,1-2-0
29,2,1,1-2-0,1-2-0
