trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,1,0,0-2-1,2-0-1
1,0,1,2-1-0,1-0-2
2,0,0,0-1-2,2-0-1
3,0,1,1-2-0,1-2-0
4,0,1,0-1-2,0-2-1
5,1,0,0-2-1,0-2-1
6,0,0,2-1-0,2-0-1
7,1,0,1-0-2,2-1-0
8,2,0,1-0-2,0-2-1
9,0,0,1-2-0,0-2-1
10,0,0,1-2-0,0-2-1
11,2,1,0-2-1,2-1-0
12,2,0,1-0-2,1-2-0
13,0,1,1-2-0,2-1-0
14,0,0,1-0-2,2-1-0
15,0,0,1-2-0,0-2-1
16,0,1,0-1-2,1-2-0
17,1,1,1-2-0,1-0-2
18,1,1,2-0-1,2-0-1
19,1,0,0-2-1,0-2-1
20,1,0,0-2-1,2-0-1
21,0,0,1-2-0,2-1-0
22,1,0,2-1-0,2-0-1
23,2,1,2-0-1,0-2-1
24,2,0,2-1-0,2-1-0
25,2,0,0-2-1,0-1-2
26,2,1,1-2-0,1-0-2
27,2,1,1-2-0,2-0-1
28,1,0,0-1-2,1-2-0
29,2,1,2-1-0,2-1-0
