trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,0,0,1-2-0,2-1-0
1,1,1,1-0-2,2-1-0
2,2,0,1-0-2,1-2-0
3,1,0,0-2-1,2-0-1
4,0,1,1-0-2,0-1-2
5,0,0,1-2-0,0-2-1
6,0,0,0-2-1,0-1-2
7,2,1,1-2-0,1-0-2
8,2,1,2-1-0,2-1-0
9,2,0,0-2-1,2-0-1
10,0,1,0-1-2,1-2-0
11,1,0,2-0-1,0-1-2
12,2,1,0-1-2,1-0-2
13,2,0,0-1-2,2-1-0
14,2,1,2-1-0,1-2-0
15,0,1,2-0-1,1-2-0
16,0,0,2-1-0,0-1-2
17,2,0,2-0-1,1-2-0
18,1,0,1-0-2,1-0-2
19,0,0,2-0-1,1-0-2
20,2,1,1-2-0,0-2-1
21,2,1,0-2-1,2-0-1
22,2,1,1-0-2,2-1-0
23,0,0,0-1-2,0-2-1
24,2,1,0-1-2,0-1-2
25,1,0,2-0-1,0-1-2
26,1,1,2-1-0,1-0-2
27,2,1,2-0-1,1-0-2
28,2,0,2-0-1,2-0-1
29,2,0,0-2-1,1-0-2
