trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,0,0,0-2-1,2-1-0
1,0,1,2-0-1,2-1-0
2,1,1,0-1-2,2-1-0
3,1,1,2-0-1,0-1-2
4,2,1,1-2-0,0-2-1
5,1,1,0-2-1,0-1-2
6,1,0,0-2-1,2-0-1
7,0,1,0-1-2,1-0-2
8,2,1,1-2-0,2-1-0
9,2,1,1-0-2,2-1-0
10,0,1,1-0-2,2-0-1
11,2,1,2-0-1,2-1-0
12,1,0,2-0-1,2-0-1
13,2,1,2-0-1,2-0-1
14,0,0,2-1-0,0-1-2
15,1,0,0-1-2,1-0-2
16,1,1,2-1-0,0-1-2
17,0,0,2-0-1,0-2-1
18,2,1,0-2-1,0-2-1
19,2,1,2-0-1,2-0-1
20,2,0,1-0-2,0-2-1
21,0,0,0-2-1,2-0-1
22,2,1,0-2-1,0-2-1
23,2,1,1-2-0,1-0-2
24,1,0,0-2-1,2-0-1
25,1,0,2-0-1,1-2-0
26,2,0,0-1-2,1-2-0
27,2,0,2-1-0,2-1-0
28,0,1,1-2-0,1-0-2
29,0,0,2-0-1,1-2-0
