trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,2,1,"1,0,2","1,0,2"
1,2,1,"1,0,2","1,2,0"
2,2,1,"1,0,2","2,0,1"
3,2,1,"0,2,1","2,1,0"
4,2,0,"0,1,2","1,2,0"
5,2,1,"1,0,2","2,0,1"
6,2,1,"0,2,1","2,0,1"
7,2,1,"0,2,1","2,0,1"
8,2,0,"2,0,1","0,2,1"
9,2,1,"0,1,2","0,1,2"
10,2,1,"1,0,2","0,1,2"
11,2,1,"0,2,1","1,0,2"
12,2,0,"1,0,2","0,1,2"
13,0,0,"2,0,1","1,2,0"
14,2,1,"1,2,0","1,0,2"
15,2,1,"0,2,1","1,2,0"
16,2,0,"2,1,0","1,2,0"
17,1,0,"0,1,2","1,0,2"
18,2,1,"0,1,2","2,0,1"
19,2,1,"0,2,1","1,2,0"
20,2,1,"1,0,2","0,2,1"
21,2,1,"2,1,0","2,1,0"
22,2,1,"0,2,1","1,2,0"
23,2,1,"2,0,1","2,1,0"
24,2,1,"1,0,2","1,0,2"
25,2,1,"1,0,2","2,1,0"
26,2,0,"0,1,2","0,2,1"
27,2,1,"2,1,0","1,2,0"
28,2,1,"1,0,2","2,0,1"
29,2,1,"2,1,0","2,0,1"
