trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,0,0,"2,1,0","0,2,1"
1,0,0,"2,1,0","2,1,0"
2,2,1,"1,2,0","2,1,0"
3,2,1,"0,1,2","0,2,1"
4,2,1,"1,2,0","1,2,0"
5,2,1,"1,2,0","0,2,1"
6,2,1,"2,0,1","1,2,0"
7,2,1,"1,0,2","0,2,1"
8,2,1,"0,2,1","0,2,1"
9,2,0,"1,2,0","1,2,0"
10,2,1,"2,0,1","1,2,0"
11,2,1,"2,1,0","1,0,2"
12,1,1,"1,2,0","1,2,0"
13,2,1,"1,2,0","1,0,2"
14,1,1,"0,2,1","1,0,2"
15,0,0,"0,2,1","2,0,1"
16,1,0,"1,2,0","0,2,1"
17,0,0,"1,0,2","1,2,0"
18,2,1,"2,0,1","0,2,1"
19,2,1,"1,2,0","2,1,0"
20,0,0,"0,1,2","1,0,2"
21,2,1,"0,1,2","0,2,1"
22,1,1,"2,0,1","1,0,2"
23,1,0,"1,0,2","2,0,1"
24,2,0,"1,0,2","1,2,0"
25,2,1,"0,1,2","2,0,1"
26,2,1,"0,1,2","0,2,1"
27,0,0,"1,0,2","1,2,0"
28,2,0,"1,0,2","0,2,1"
29,1,0,"0,2,1","0,1,2"
