trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,2,1,"2,1,0","0,1,2"
1,1,0,"0,2,1","2,1,0"
2,2,1,"1,2,0","1,0,2"
3,0,0,"0,2,1","1,2,0"
4,2,1,"2,1,0","0,1,2"
5,2,1,"2,1,0","1,2,0"
6,2,1,"1,0,2","1,2,0"
7,2,1,"1,2,0","0,2,1"
8,1,1,"0,2,1","1,0,2"
9,0,0,"2,0,1","2,0,1"
10,2,1,"2,0,1","0,2,1"
11,1,1,"0,1,2","0,2,1"
12,0,0,"0,1,2","0,2,1"
13,1,0,"1,2,0","0,2,1"
14,1,1,"0,1,2","1,0,2"
15,0,1,"2,0,1","0,2,1"
16,2,1,"0,1,2","2,0,1"
17,2,0,"1,2,0","2,1,0"
18,2,1,"1,2,0","1,2,0"
19,2,1,"2,1,0","2,0,1"
20,0,0,"0,1,2","2,0,1"
21,1,1,"0,1,2","1,0,2"
22,2,0,"2,1,0","2,0,1"
23,1,0,"2,0,1","1,2,0"
24,1,0,"0,1,2","1,2,0"
25,0,0,"2,1,0","0,1,2"
26,2,1,"2,1,0","1,2,0"
27,2,1,"1,2,0","1,2,0"
28,1,1,"1,0,2","2,0,1"
29,1,1,"2,0,1","1,2,0"
