trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,1,1,1-2-0,0-2-1
1,1,1,1-2-0,2-1-0
2,0,0,2-1-0,2-0-1
3,0,0,1-2-0,2-1-0
4,1,0,0-2-1,1-0-2
5,2,1,0-1-2,2-0-1
6,1,0,2-1-0,0-2-1
7,2,1,0-1-2,1-0-2
8,2,1,2-0-1,0-2-1
9,1,0,1-0-2,2-0-1
10,2,1,1-0-2,0-2-1
11,1,1,0-2-1,2-0-1
12,1,1,2-1-0,2-0-1
13,0,1,0-1-2,1-2-0
14,1,1,0-2-1,1-0-2
15,2,0,0-1-2,1-2-0
16,1,1,1-0-2,0-2-1
17,2,1,0-1-2,0-2-1
18,1,0,0-2-1,2-0-1
19,1,1,0-2-1,2-0-1
20,2,0,1-0-2,1-0-2
21,2,1,1-2-0,2-0-1
22,0,0,2-0-1,2-1-0
23,2,1,1-2-0,0-2-1
24,2,1,0-1-2,2-0-1
25,2,1,2-1-0,2-1-0
26,0,0,1-2-0,2-1-0
27,0,0,0-1-2,1-2-0
28,0,0,0-2-1,2-0-1
29,2,0,0-2-1,2-1-0
