trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,2,1,0-1-2,1-0-2
1,0,0,0-1-2,1-2-0
2,2,1,1-0-2,0-2-1
3,2,1,2-1-0,2-0-1
4,1,1,0-1-2,1-0-2
5,2,1,1-2-0,2-0-1
6,2,1,0-1-2,1-2-0
7,2,0,0-2-1,2-0-1
8,1,0,1-2-0,1-2-0
9,0,1,0-1-2,0-1-2
10,0,0,2-0-1,1-2-0
11,2,1,2-0-1,0-1-2
12,2,1,1-2-0,2-1-0
13,0,1,2-1-0,0-2-1
14,1,0,1-0-2,0-1-2
15,2,1,1-2-0,0-2-1
16,2,0,2-1-0,2-1-0
17,0,0,0-1-2,0-1-2
18,2,1,1-2-0,0-2-1
19,2,1,2-0-1,0-1-2
20,2,0,1-0-2,1-0-2
21,1,0,0-1-2,1-2-0
22,0,1,0-2-1,2-1-0
23,0,0,1-0-2,0-2-1
24,2,1,0-2-1,2-0-1
25,1,1,1-0-2,0-1-2
26,1,0,0-1-2,2-0-1
27,1,0,2-1-0,2-0-1
28,0,0,2-1-0,1-2-0
29,1,0,2-1-0,1-2-0
